doc_id,development_c,development_m,fark
csb_0028,3,0,3
hatay_bld_0167,1,3,-2
csb_0316,2,0,2
csb_0823,3,1,2
kmaras_bld_0289,1,3,-2
kmaras_val_197,1,3,-2
kmaras_bld_0627,1,3,-2
csb_0918,2,0,2
tccb_034,1,2,-1
kmaras_bld_0189,1,2,-1
csb_0902,2,3,-1
csb_0297,2,3,-1
tccb_250,1,2,-1
csb_0489,1,0,1
csb_0056,2,3,-1
kmaras_bld_2004,2,3,-1
csb_0016,2,3,-1
hatay_val_166,2,3,-1
tccb_301,1,2,-1
csb_0045,2,1,1
csb_0901,2,3,-1
hatay_bld_0013,2,1,1
csb_0670,1,2,-1
hatay_bld_0803,2,3,-1
tccb_016,1,0,1
csb_0696,2,1,1
csb_0036,3,2,1
tccb_266,2,1,1
csb_0820,2,1,1
csb_0456,2,1,1
kmaras_bld_2287,2,3,-1
hatay_bld_0133,1,2,-1
kmaras_val_071,1,0,1
csb_0051,3,2,1
csb_0647,2,1,1
csb_0890,2,1,1
csb_0898,2,1,1
kmaras_bld_1292,1,2,-1
