period,word,z_score,n_in_period,n_outside
1_post_quake,kurum,35.37010422644826,1508,1211
1_post_quake,bin,29.645183237559486,2622,3905
1_post_quake,tespit,23.21983498391404,447,181
1_post_quake,barınma,22.574850382070164,416,158
1_post_quake,hasarlı,22.303292438724206,398,136
1_post_quake,hasar,21.34983694300161,482,327
1_post_quake,geçici,20.396625690871137,515,423
1_post_quake,bağımsız,19.433407300787998,505,448
1_post_quake,ramazan,18.681791849134402,280,97
1_post_quake,afet,18.220349943316297,479,455
1_post_quake,acil,17.875972605678772,333,221
1_post_quake,gaziantep,17.25707596557156,311,207
1_post_quake,bay,17.054638014844393,262,134
1_post_quake,arama,16.786485153240967,234,95
1_post_quake,birimin,16.427535210158315,217,39
1_post_quake,murat,16.356659516797766,360,321
1_post_quake,kurtarma,16.262028462061497,217,84
1_post_quake,birlikte,15.890239811538416,1006,1672
1_post_quake,yaptık,15.612810511146064,399,419
1_post_quake,malatya,15.298458691667596,284,228
1_post_quake,konteyner,14.7651869811916,308,287
1_post_quake,binada,14.758968820403743,188,24
1_post_quake,depremin,14.68479892428443,370,402
1_post_quake,enkaz,14.360872367878944,170,67
1_post_quake,nisan,14.099064085461553,170,76
2_pres_campaign,kurum,31.906844395242754,687,2032
2_pres_campaign,stanbul,26.641879897152744,539,1751
2_pres_campaign,yarısı,23.43082715682412,186,213
2_pres_campaign,bizden,22.743671383901795,188,253
2_pres_campaign,başvuru,21.477359790452272,159,190
2_pres_campaign,mayıs,20.706153425636533,236,572
2_pres_campaign,kirişci,14.819632688183038,91,154
2_pres_campaign,murat,14.80887663200001,163,518
2_pres_campaign,bakan,14.545230555524087,549,3386
2_pres_campaign,bay,14.384292320499146,115,281
2_pres_campaign,konya,13.723006957967863,57,42
2_pres_campaign,kartal,13.355456066730065,56,50
2_pres_campaign,bölüm,13.21026330398227,72,121
2_pres_campaign,yaptı,11.908094247542392,86,229
2_pres_campaign,ümraniye,11.899897276967696,42,22
2_pres_campaign,üsküdar,11.803566489139317,47,53
2_pres_campaign,mülkiyet,11.77773702664304,42,31
2_pres_campaign,sanayi,11.720116579267225,135,523
2_pres_campaign,kampanyasına,11.554335106017318,41,33
2_pres_campaign,umuzda,11.079154589637211,41,45
2_pres_campaign,kampanyamıza,10.986947672006524,38,12
2_pres_campaign,hep,10.844598659934642,196,1010
2_pres_campaign,kılıçdaroğlu,10.536936009339087,36,10
2_pres_campaign,birlikte,10.464650826147775,352,2326
2_pres_campaign,millet,10.434960306839297,184,954
3_inter_election,özhaseki,39.56563799866829,1783,539
3_inter_election,dönüşüm,23.543165519445456,1069,726
3_inter_election,yerinde,21.612605035962414,657,314
3_inter_election,mehmet,18.156680112797776,835,691
3_inter_election,kentsel,13.696062127389869,678,678
3_inter_election,klim,13.4022123199851,785,851
3_inter_election,civarında,12.548902889117823,180,54
3_inter_election,değişikliği,12.356569192993309,747,845
3_inter_election,vali,11.95286202388943,384,329
3_inter_election,güngör,11.846174805749595,634,696
3_inter_election,kayseri,11.82778776331237,154,38
3_inter_election,çevre,11.480028898477293,909,1149
3_inter_election,kredi,11.103025023379569,193,106
