model,month,n_docs,politicization_index,ci_lower,ci_upper,ci_width
distilbert,2023-02-01,114,0.9514,0.8417,1.0689,0.2272
distilbert,2023-03-01,155,1.1406,1.0189,1.2786,0.2597
distilbert,2023-04-01,204,1.476,1.3629,1.597,0.2342
distilbert,2023-05-01,178,1.4183,1.2888,1.5653,0.2765
distilbert,2023-06-01,132,1.6005,1.4014,1.8463,0.4449
distilbert,2023-07-01,167,1.2136,1.0643,1.3906,0.3263
distilbert,2023-08-01,126,1.1919,1.0561,1.3471,0.291
distilbert,2023-09-01,89,1.2465,1.0782,1.4563,0.3781
distilbert,2023-10-01,75,1.4649,1.2376,1.7732,0.5356
distilbert,2023-11-01,69,1.3091,1.1273,1.5474,0.42
distilbert,2023-12-01,59,1.2294,1.0593,1.4397,0.3804
distilbert,2024-01-01,68,1.0739,0.8925,1.2873,0.3948
distilbert,2024-02-01,72,1.5452,1.3388,1.7966,0.4578
distilbert,2024-03-01,56,1.6853,1.4167,2.0228,0.6062
distilbert,2024-04-01,37,2.6271,2.0034,3.5393,1.5359
distilbert,2024-05-01,71,1.5156,1.1566,1.9465,0.7899
distilbert,2024-06-01,49,1.112,0.777,1.5375,0.7605
distilbert,2024-07-01,59,1.2314,0.9513,1.5984,0.6471
distilbert,2024-08-01,73,0.8965,0.7129,1.1203,0.4074
distilbert,2024-09-01,77,1.0733,0.8252,1.3477,0.5226
distilbert,2024-10-01,78,1.0996,0.8381,1.395,0.5569
distilbert,2024-11-01,46,1.5824,1.1966,2.079,0.8824
distilbert,2024-12-01,17,2.59,2.1191,3.1827,1.0636
tfidf,2023-02-01,114,1.1903,1.0455,1.3806,0.3351
tfidf,2023-03-01,155,1.5097,1.3315,1.722,0.3904
tfidf,2023-04-01,204,2.1486,1.9621,2.3544,0.3924
tfidf,2023-05-01,178,2.0896,1.8712,2.3508,0.4796
tfidf,2023-06-01,132,2.1388,1.855,2.4946,0.6395
tfidf,2023-07-01,167,1.6792,1.4884,1.9221,0.4337
tfidf,2023-08-01,126,1.5415,1.3314,1.7954,0.4639
tfidf,2023-09-01,89,1.6951,1.4779,1.981,0.503
tfidf,2023-10-01,75,1.8938,1.6131,2.2128,0.5997
tfidf,2023-11-01,69,1.7588,1.4719,2.13,0.6582
tfidf,2023-12-01,59,1.5267,1.3272,1.7691,0.4419
tfidf,2024-01-01,68,1.5899,1.314,1.9337,0.6197
tfidf,2024-02-01,72,2.1346,1.753,2.5815,0.8284
tfidf,2024-03-01,56,2.5173,2.0484,3.1391,1.0906
tfidf,2024-04-01,37,3.1855,2.2567,4.7777,2.521
tfidf,2024-05-01,71,1.7624,1.2673,2.4317,1.1643
tfidf,2024-06-01,49,1.3108,0.9597,1.752,0.7922
tfidf,2024-07-01,59,1.6516,1.2553,2.1656,0.9102
tfidf,2024-08-01,73,1.3191,1.0179,1.7265,0.7087
tfidf,2024-09-01,77,1.6235,1.2428,2.124,0.8813
tfidf,2024-10-01,78,1.6434,1.2021,2.2219,1.0199
tfidf,2024-11-01,46,2.3103,1.6479,3.1784,1.5305
tfidf,2024-12-01,17,3.9423,2.8679,5.4154,2.5475
