month,redacted_mean,original_mean,n
2023-02-01,1.42829367397091,1.4135225171836217,91
2023-03-01,1.31874598024705,1.3186026305837115,124
2023-04-01,1.6965645469279462,1.6986922870092678,127
2023-05-01,1.5105279903983937,1.5115697301941875,97
2023-06-01,1.5084523990490868,1.5120015332179542,95
2023-07-01,1.238346688456645,1.2364702945134811,109
2023-08-01,1.1804021469204151,1.1737126955452808,89
2023-09-01,1.3915929268954852,1.390773069887299,50
2023-10-01,1.4462603725290257,1.4972513603756412,30
2023-11-01,1.636526583925248,1.631902570585549,23
2023-12-01,1.658057641722594,1.567429072893766,26
2024-01-01,1.3729251640270217,1.3556228663964462,24
2024-02-01,1.7445464249039075,1.7305018259173854,44
2024-03-01,1.4820951734477956,1.5731394808627985,26
2024-04-01,1.6601837499684389,1.5012697160035446,14
2024-05-01,0.9030681582797665,0.6757415107042853,29
2024-06-01,1.0706482142159712,1.015997605594727,15
2024-07-01,1.505307615595751,1.362836576016722,18
2024-08-01,1.1376352819607474,1.0069612371845422,28
2024-09-01,1.0776983936459688,1.0787373062172898,22
2024-10-01,1.3321363826513721,1.4268681266275123,29
2024-11-01,1.6255725069965463,1.528817918904558,12
2024-12-01,1.7082098996976784,1.7095164633523474,14
